Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore
Um Príncipe em Nova York,(1988),"
Comedy, Romance            ",116 min,7.0,$128.15M,"153,018",47        
Willow: Na Terra da Magia,(1988),"
Action, Adventure, Drama            ",126 min,7.3,$57.27M,"95,829",47        
Os Fantasmas se Divertem,(1988),"
Comedy, Fantasy            ",92 min,7.5,$73.71M,"242,850",70        
Duro de Matar,(1988),"
Action, Thriller            ",132 min,8.2,$83.01M,"746,306",72        
Atração Mortal,(1988),"
Comedy, Crime            ",103 min,7.2,$1.11M,"82,026",72        
Quero ser Grande,(1988),"
Comedy, Drama, Fantasy            ",104 min,7.3,$114.97M,"186,092",73        
Corra que a Polícia vem Aí!,(1988),"
Comedy, Crime            ",85 min,7.6,$78.76M,"141,110",76        
Uma Cilada para Roger Rabbit,(1988),"
Animation, Adventure, Comedy            ",104 min,7.7,$156.45M,"173,128",83        
Túmulo dos Vagalumes,(1988),"
Animation, Drama, War            ",89 min,8.5,,"209,540",
Rain Man,(1988),"
Drama            ",133 min,8.0,$178.80M,"452,337",65        
Eles Vivem,(1988),"
Action, Horror, Sci-Fi            ",94 min,7.3,$13.01M,"101,243",54        
Akira,(1988),"
Animation, Action, Drama            ",124 min,8.0,$0.55M,"149,439",
Brinquedo Assassino,(1988),"
Horror, Thriller            ",87 min,6.6,$33.24M,"82,075",58        
Fuga à Meia-Noite,(1988),"
Action, Comedy, Crime            ",126 min,7.5,$38.41M,"67,837",78        
Uma Secretária de Futuro,(1988),"
Comedy, Drama, Romance            ",113 min,6.8,$64.00M,"49,063",73        
Cinema Paradiso,(1988),"
Drama            ",155 min,8.5,$11.99M,"211,046",80        
A Última Tentação de Cristo,(1988),"
Drama            ",164 min,7.6,$7.63M,"48,382",80        
Um Peixe Chamado Wanda,(1988),"
Comedy, Crime            ",108 min,7.5,$63.49M,"125,482",80        
Rambo III,(1988),"
Action, Adventure            ",102 min,5.8,$53.72M,"115,612",36        
Meu Amigo Totoro,(1988),"
Animation, Family, Fantasy            ",86 min,8.2,$1.11M,"250,513",86        
Amigas para Sempre,(1988),"
Comedy, Drama, Music            ",123 min,6.9,$57.04M,"21,959",46        
Os Jovens Pistoleiros,(1988),"
Action, Western            ",107 min,6.9,$45.66M,"51,695",50        
O Grande Dragão Branco,(1988),"
Action, Biography, Drama            ",92 min,6.8,$11.81M,"71,496",29        
Mississippi em Chamas,(1988),"
Crime, Drama, History            ",128 min,7.8,$34.60M,"81,826",65        
Irmãos Gêmeos,(1988),"
Comedy, Crime            ",107 min,6.1,$111.94M,"107,382",53        
As Aventuras do Barão Munchausen,(1988),"
Adventure, Comedy, Fantasy            ",126 min,7.2,$8.08M,"48,530",69        
