Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
"Star Wars, Episódio I: A Ameaça Fantasma",(1999),"
Action, Adventure, Fantasy            ",136 min,6.5,$474.54M,"689,908",51        ,George Lucas,":
Ewan McGregor, 
Liam Neeson, 
Natalie Portman, 
Jake Lloyd
"
Beleza Americana,(1999),"
Drama            ",122 min,8.3,$130.10M,"1,018,637",84        ,Sam Mendes,":
Kevin Spacey, 
Annette Bening, 
Thora Birch, 
Wes Bentley
"
Matrix,(1999),"
Action, Sci-Fi            ",136 min,8.7,$171.48M,"1,572,495",73        ,Lana Wachowski,":
Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving
"
Clube da Luta,(1999),"
Drama            ",139 min,8.8,$37.03M,"1,744,384",66        ,David Fincher,":
Brad Pitt, 
Edward Norton, 
Meat Loaf, 
Zach Grenier
"
À Espera de um Milagre,(1999),"
Crime, Drama, Fantasy            ",189 min,8.6,$136.80M,"1,064,476",61        ,Frank Darabont,":
Tom Hanks, 
Michael Clarke Duncan, 
David Morse, 
Bonnie Hunt
"
O Talentoso Ripley,(1999),"
Crime, Drama, Thriller            ",139 min,7.4,$81.30M,"168,627",76        ,Anthony Minghella,":
Matt Damon, 
Gwyneth Paltrow, 
Jude Law, 
Cate Blanchett
"
Magnólia,(1999),"
Drama            ",188 min,8.0,$22.46M,"276,688",77        ,Paul Thomas Anderson,":
Tom Cruise, 
Jason Robards, 
Julianne Moore, 
Philip Seymour Hoffman
"
Um Lugar Chamado Notting Hill,(1999),"
Comedy, Drama, Romance            ",124 min,7.1,$116.09M,"255,118",68        ,Roger Michell,":
Hugh Grant, 
Julia Roberts, 
Richard McCabe, 
Rhys Ifans
"
American Pie: A Primeira Vez é Inesquecível,(1999),"
Comedy            ",95 min,7.0,$102.56M,"360,273",58        ,Paul Weitz,":
Jason Biggs, 
Chris Klein, 
Thomas Ian Nicholas, 
Jennifer Coolidge
"
O Colecionador de Ossos,(1999),"
Crime, Drama, Mystery            ",118 min,6.7,$66.52M,"146,468",45        ,Phillip Noyce,":
Denzel Washington, 
Angelina Jolie, 
Queen Latifah, 
Michael Rooker
"
