Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Contágio,(2011),"
Action, Drama, Thriller            ",106 min,6.7,$75.66M,"245,345",70        ,Steven Soderbergh,":
Matt Damon, 
Kate Winslet, 
Jude Law, 
Gwyneth Paltrow
"
A Origem,(2010),"
Action, Adventure, Sci-Fi            ",148 min,8.8,$292.58M,"1,938,977",74        ,Christopher Nolan,":
Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Ellen Page, 
Ken Watanabe
"
Django Livre,(2012),"
Drama, Western            ",165 min,8.4,$162.81M,"1,280,246",81        ,Quentin Tarantino,":
Jamie Foxx, 
Christoph Waltz, 
Leonardo DiCaprio, 
Kerry Washington
"
Ilha do Medo,(2010),"
Mystery, Thriller            ",138 min,8.1,$128.01M,"1,063,127",63        ,Martin Scorsese,":
Leonardo DiCaprio, 
Emily Mortimer, 
Mark Ruffalo, 
Ben Kingsley
"
Jogos Vorazes,(2012),"
Action, Adventure, Sci-Fi            ",142 min,7.2,$408.01M,"816,240",68        ,Gary Ross,":
Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Stanley Tucci
"
Super 8,(2011),"
Action, Mystery, Sci-Fi            ",112 min,7.0,$127.00M,"328,797",72        ,J.J. Abrams,":
Elle Fanning, 
AJ Michalka, 
Kyle Chandler, 
Joel Courtney
"
Batman: O Cavaleiro das Trevas Ressurge,(2012),"
Action, Adventure            ",164 min,8.4,$448.14M,"1,449,038",78        ,Christopher Nolan,":
Christian Bale, 
Tom Hardy, 
Anne Hathaway, 
Gary Oldman
"
Harry Potter e as Relíquias da Morte - Parte 2,(2011),"
Adventure, Drama, Fantasy            ",130 min,8.1,$381.01M,"724,265",85        ,David Yates,":
Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Michael Gambon
"
The Avengers: Os Vingadores,(2012),"
Action, Adventure, Sci-Fi            ",143 min,8.0,$623.28M,"1,223,298",69        ,Joss Whedon,":
Robert Downey Jr., 
Chris Evans, 
Scarlett Johansson, 
Jeremy Renner
"
Capitão América: O Primeiro Vingador,(2011),"
Action, Adventure, Sci-Fi            ",124 min,6.9,$176.65M,"705,587",66        ,Joe Johnston,":
Chris Evans, 
Hugo Weaving, 
Samuel L. Jackson, 
Hayley Atwell
"
