Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Blade Runner: O Caçador de Androides,(1982),"Action, Sci-Fi, Thriller",117,8.1,32.87,652.535,84.0,Ridley Scott,":
Harrison Ford, 
Rutger Hauer, 
Sean Young, 
Edward James Olmos
",min,M
E.T.: O Extraterrestre,(1982),"Family, Sci-Fi",115,7.8,435.11,350.031,91.0,Steven Spielberg,":
Henry Thomas, 
Drew Barrymore, 
Peter Coyote, 
Dee Wallace
",min,M
Picardias Estudantis,(1982),"Comedy, Drama",90,7.2,27.09,87.854,67.0,Amy Heckerling,":
Sean Penn, 
Jennifer Jason Leigh, 
Judge Reinhold, 
Robert Romanus
",min,M
O Enigma de Outro Mundo,(1982),"Horror, Mystery, Sci-Fi",109,8.1,13.78,346.019,57.0,John Carpenter,":
Kurt Russell, 
Wilford Brimley, 
Keith David, 
Richard Masur
",min,M
Rambo - Programado Para Matar,(1982),"Action, Adventure",93,7.7,47.21,213.705,61.0,Ted Kotcheff,":
Sylvester Stallone, 
Brian Dennehy, 
Richard Crenna, 
Bill McKinney
",min,M
O Rei da Comédia,(1982),"Comedy, Crime, Drama",109,7.8,2.50,77.562,73.0,Martin Scorsese,":
Robert De Niro, 
Jerry Lewis, 
Diahnne Abbott, 
Sandra Bernhard
",min,M
"Conan, o Bárbaro",(1982),"Action, Adventure, Fantasy",129,6.9,39.57,131.642,43.0,John Milius,":
Arnold Schwarzenegger, 
James Earl Jones, 
Max von Sydow, 
Sandahl Bergman
",min,M
Poltergeist: O Fenômeno,(1982),"Horror, Thriller",114,7.3,76.61,134.042,79.0,Tobe Hooper,":
JoBeth Williams, 
Heather O'Rourke, 
Craig T. Nelson, 
Beatrice Straight
",min,M
A Escolha de Sofia,(1982),"Drama, Romance",150,7.6,30.04,38.682,68.0,Alan J. Pakula,":
Meryl Streep, 
Kevin Kline, 
Peter MacNicol, 
Rita Karin
",min,M
Tron: Uma Odisseia Eletrônica,(1982),"Action, Adventure, Sci-Fi",96,6.8,33.00,108.660,58.0,Steven Lisberger,":
Jeff Bridges, 
Bruce Boxleitner, 
David Warner, 
Cindy Morgan
",min,M
Annie,(1982),"Comedy, Drama, Family",126,6.6,57.06,37.784,39.0,John Huston,":
Aileen Quinn, 
Albert Finney, 
Carol Burnett, 
Ann Reinking
",min,M
O Cristal Encantado,(1982),"Adventure, Family, Fantasy",93,7.2,40.58,58.752,66.0,Jim Henson,":
Jim Henson, 
Kathryn Mullen, 
Frank Oz, 
Dave Goelz
",min,M
Jornada nas Estrelas II: A Ira de Khan,(1982),"Action, Adventure, Sci-Fi",113,7.7,78.91,107.765,67.0,Nicholas Meyer,":
William Shatner, 
Leonard Nimoy, 
DeForest Kelley, 
James Doohan
",min,M
