Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
Watchmen: O Filme,(2009),"Action, Drama, Mystery",162,7.6,107.51,477.678,56.0,min,M
Bastardos Inglórios,(2009),"Adventure, Drama, War",153,8.3,120.54,1.175.973,69.0,min,M
Avatar,(2009),"Action, Adventure, Fantasy",162,7.8,760.51,1.074.730,83.0,min,M
O Primeiro Mentiroso,(2009),"Comedy, Fantasy, Romance",100,6.4,18.44,111.837,58.0,min,M
Zumbilândia,(2009),"Adventure, Comedy, Horror",88,7.6,75.59,491.315,73.0,min,M
"Se Beber, Não Case!",(2009),Comedy,100,7.7,277.32,686.942,73.0,min,M
Harry Potter e o Enigma do Príncipe,(2009),"Action, Adventure, Family",153,7.6,301.96,436.817,78.0,min,M
Star Trek,(2009),"Action, Adventure, Sci-Fi",127,7.9,257.73,563.870,82.0,min,M
Um Sonho Possível,(2009),"Biography, Drama, Sport",129,7.6,255.96,275.587,53.0,min,M
Um Olhar do Paraíso,(2009),"Drama, Fantasy, Thriller",135,6.7,43.82,149.379,42.0,min,M
G.I. Joe: A Origem de Cobra,(2009),"Action, Adventure, Sci-Fi",118,5.8,152.27,193.915,32.0,min,M
X-Men Origens: Wolverine,(2009),"Action, Adventure, Sci-Fi",107,6.6,179.88,448.931,40.0,min,M
O Preço da Traição,(2009),"Drama, Mystery, Romance",96,6.3,3.07,66.305,48.0,min,M
Sherlock Holmes,(2009),"Action, Adventure, Crime",128,7.6,209.03,560.347,57.0,min,M
Amor Sem Escalas,(I) (2009),"Comedy, Drama, Romance",109,7.4,83.82,306.629,83.0,min,M
Ele Não Está Tão a Fim de Você,(2009),"Comedy, Drama, Romance",129,6.4,93.95,153.757,47.0,min,M
Lunar,(2009),"Drama, Mystery, Sci-Fi",97,7.9,5.01,319.851,67.0,min,M
2012,(I) (2009),"Action, Adventure, Sci-Fi",158,5.8,166.11,336.642,49.0,min,M
Up: Altas Aventuras,(2009),"Animation, Adventure, Comedy",96,8.2,293.00,878.647,88.0,min,M
Inimigos Públicos,(2009),"Biography, Crime, Drama",140,7.0,97.10,267.541,70.0,min,M
Sexta-Feira 13,(2009),"Horror, Mystery, Thriller",97,5.5,65.00,92.029,34.0,min,M
O Exterminador do Futuro: A Salvação,(2009),"Action, Sci-Fi",115,6.5,125.32,331.205,49.0,min,M
Mother - A Busca Pela Verdade,(2009),"Crime, Drama, Thriller",129,7.8,0.55,41.173,79.0,min,M
3 Idiotas,(2009),"Comedy, Drama",170,8.4,6.53,314.657,67.0,min,M
A Princesa e o Sapo,(2009),"Animation, Adventure, Comedy",97,7.1,104.40,114.655,73.0,min,M
Transformers: A Vingança dos Derrotados,(2009),"Action, Adventure, Sci-Fi",150,6.0,402.11,372.049,35.0,min,M
Anjos e Demônios,(2009),"Action, Mystery, Thriller",138,6.7,133.38,259.936,48.0,min,M
Distrito 9,(2009),"Action, Sci-Fi, Thriller",112,7.9,115.65,616.879,81.0,min,M
Uma Noite no Museu 2,(2009),"Adventure, Comedy, Family",105,6.0,177.24,166.647,42.0,min,M
Garota Infernal,(2009),"Comedy, Horror",102,5.2,16.20,109.292,47.0,min,M
Distante nós Vamos,(2009),"Comedy, Drama, Romance",98,7.0,9.45,50.275,58.0,min,M
Anticristo,(2009),"Drama, Horror",108,6.6,0.40,110.243,49.0,min,M
Os Homens que Não Amavam as Mulheres,(2009),"Crime, Drama, Mystery",152,7.8,10.10,201.806,76.0,min,M
Dente Canino,(2009),"Drama, Thriller",97,7.3,0.11,73.147,73.0,min,M
A Proposta,(I) (2009),"Comedy, Drama, Romance",108,6.7,163.96,280.549,48.0,min,M
O Padrasto,(2009),"Crime, Thriller",101,5.6,29.06,29.155,33.0,min,M
Velozes & Furiosos 4,(2009),"Action, Adventure, Thriller",107,6.6,155.06,249.585,46.0,min,M
A Última Casa,(2009),"Horror, Thriller",110,6.5,32.75,81.428,42.0,min,M
(500) Dias com Ela,(2009),"Comedy, Drama, Romance",95,7.7,32.39,451.880,76.0,min,M
17 Outra Vez,(2009),"Comedy, Drama, Fantasy",102,6.3,64.17,171.380,48.0,min,M
Sempre ao Seu Lado,(2009),"Drama, Family",93,8.1,,233.630,,min,
